0.0	0.0	0.0  
0.0	0.0	10.2  
3.0	0.0	3.0  
3.0	0.0	11.8  
6.0	0.0	5.6  
6.0	0.0	13.2  
9.0	0.0	7.9  
9.0	0.0	14.7  
12.0	0.0	9.8  
12.0	0.0	15.9  
15.0	0.0	11.6  
15.0	0.0	16.9  
18.0	0.0	13.0  
18.0	0.0	17.7  
21.0	0.0	14.4  
21.0	0.0	18.5  
24.0	0.0	15.4  
24.0	0.0	19.3  
27.0	0.0	16.3  
27.0	0.0	19.7  
30.0	0.0	17.0  
30.0	0.0	20.3  
33.0	0.0	17.6  
33.0	0.0	20.7  
36.0	0.0	17.9  
36.0	0.0	21.0  
39.0	0.0	18.2  
39.0	0.0	21.1  
42.0	0.0	18.3  
42.0	0.0	21.2  
45.0	0.0	18.2  
45.0	0.0	21.1  
48.0	0.0	17.9  
48.0	0.0	21.0  
51.0	0.0	17.6  
51.0	0.0	20.7  
54.0	0.0	17.0  
54.0	0.0	20.3  
57.0	0.0	16.3  
57.0	0.0	19.7  
60.0	0.0	15.4  
60.0	0.0	19.3  
63.0	0.0	14.4  
63.0	0.0	18.5  
66.0	0.0	13.0  
66.0	0.0	17.7  
69.0	0.0	11.6  
69.0	0.0	16.9  
72.0	0.0	9.8  
72.0	0.0	15.9  
75.0	0.0	7.9  
75.0	0.0	14.7  
78.0	0.0	5.6  
78.0	0.0	13.2  
81.0	0.0	3.0  
81.0	0.0	11.8  
84.0	0.0	0.0  
84.0	0.0	10.2
0.0	8.2	0.0  
0.0	8.2	10.2  
3.0	8.2	3.0  
3.0	8.2	11.8  
6.0	8.2	5.6  
6.0	8.2	13.2  
9.0	8.2	7.9  
9.0	8.2	14.7  
12.0	8.2	9.8  
12.0	8.2	15.9  
15.0	8.2	11.6  
15.0	8.2	16.9  
18.0	8.2	13.0  
18.0	8.2	17.7  
21.0	8.2	14.4  
21.0	8.2	18.5  
24.0	8.2	15.4  
24.0	8.2	19.3  
27.0	8.2	16.3  
27.0	8.2	19.7  
30.0	8.2	17.0  
30.0	8.2	20.3  
33.0	8.2	17.6  
33.0	8.2	20.7  
36.0	8.2	17.9  
36.0	8.2	21.0  
39.0	8.2	18.2  
39.0	8.2	21.1  
42.0	8.2	18.3  
42.0	8.2	21.2  
45.0	8.2	18.2  
45.0	8.2	21.1  
48.0	8.2	17.9  
48.0	8.2	21.0  
51.0	8.2	17.6  
51.0	8.2	20.7  
54.0	8.2	17.0  
54.0	8.2	20.3  
57.0	8.2	16.3  
57.0	8.2	19.7  
60.0	8.2	15.4  
60.0	8.2	19.3  
63.0	8.2	14.4  
63.0	8.2	18.5  
66.0	8.2	13.0  
66.0	8.2	17.7  
69.0	8.2	11.6  
69.0	8.2	16.9  
72.0	8.2	9.8  
72.0	8.2	15.9  
75.0	8.2	7.9  
75.0	8.2	14.7  
78.0	8.2	5.6  
78.0	8.2	13.2  
81.0	8.2	3.0  
81.0	8.2	11.8  
84.0	8.2	0.0  
84.0	8.2	10.2
0.0	0.0	7.0
3.0	0.0	7.0
6.0	0.0	7.0
9.0	0.0	7.0
12.0	0.0	7.0
15.0	0.0	7.0
18.0	0.0	7.0
21.0	0.0	7.0
24.0	0.0	7.0
27.0	0.0	7.0
30.0	0.0	7.0
33.0	0.0	7.0
36.0	0.0	7.0
39.0	0.0	7.0
42.0	0.0	7.0
45.0	0.0	7.0
48.0	0.0	7.0
51.0	0.0	7.0
54.0	0.0	7.0
57.0	0.0	7.0
60.0	0.0	7.0
63.0	0.0	7.0
66.0	0.0	7.0
69.0	0.0	7.0
72.0	0.0	7.0
75.0	0.0	7.0
78.0	0.0	7.0
81.0	0.0	7.0
84.0	0.0	7.0
0.0	8.2	7.0
3.0	8.2	7.0
6.0	8.2	7.0
9.0	8.2	7.0
12.0	8.2	7.0
15.0	8.2	7.0
18.0	8.2	7.0
21.0	8.2	7.0
24.0	8.2	7.0
27.0	8.2	7.0
30.0	8.2	7.0
33.0	8.2	7.0
36.0	8.2	7.0
39.0	8.2	7.0
42.0	8.2	7.0
45.0	8.2	7.0
48.0	8.2	7.0
51.0	8.2	7.0
54.0	8.2	7.0
57.0	8.2	7.0
60.0	8.2	7.0
63.0	8.2	7.0
66.0	8.2	7.0
69.0	8.2	7.0
72.0	8.2	7.0
75.0	8.2	7.0
78.0	8.2	7.0
81.0	8.2	7.0
84.0	8.2	7.0
